numTools	h5-index (2020)	journal
1	57	ACS Synthetic Biology
1	43	Acta Crystallographica Section D: Biological Crystallography
1	NA	Advances in bioinformatics
4	19	Algorithms for molecular biology
1	85	American Journal of Human Genetics
2	110	Analytical chemistry
1	NA	Annual International Conference on Research in Computational Molecular Biology
1	70	Applied and environmental microbiology
1	NA	arXiv Data Structures and Algorithms (cs.DS)
2	NA	arXiv Genomics (q-bio.GN)
136	125	Bioinformatics
1	25	Bioinformatics and Biomedicine (BIBM), 2010 IEEE International Conference on
17	NA	BioRxiv
3	25	Biostatistics
37	63	BMC bioinformatics
1	48	BMC biology
1	42	BMC evolutionary biology
5	74	BMC genomics
1	14	BMC proceedings
1	44	BMC research notes
6	65	Briefings in bioinformatics
1	16	Cancer Informatics
3	269	Cell
2	128	Cell Reports
2	114	Cell stem cell
2	63	Cell systems
1	10	Communications for statistical applications and methods
1	NA	Computer Journal.
1	111	Current Biology
3	58	Entropy
1	70	Evolutionary Computation, IEEE Transactions on
2	70	F1000Research
2	61	Frontiers in genetics
1	59	Gene
26	114	Genome Biology
4	71	Genome medicine
33	91	Genome research
1	32	Genomics
3	51	GigaScience
1	NA	Information and Media Technologies
1	23	International Conference on Research in Computational Molecular Biology
1	18	International journal of data science and analytics
1	15	International Journal of Chemical Reactor Engineering
1	NA	International Workshop on Algorithms in Bioinformatic
2	23	Journal of computational biology
1	32	Journal of microbiological methods
10	67	Journal of molecular biology
1	21	Journal of Molecular Evolution
1	48	Journal of the Royal Statistical Society
1	NA	Kernel methods in computational biology (book)
1	NA	Machine Learning: ECML 2006
2	59	Methods
1	34	Methods in enzymology
2	NA	MIT press
3	77	Molecular biology and evolution
1	59	Molecular & Cellular Proteomics
2	54	Molecular phylogenetics and evolution
2	58	Molecular systems biology
1	376	Nature
11	154	Nature biotechnology
1	111	Nature cell biology
4	273	Nature communications
3	180	Nature genetics
22	151	Nature methods
1	91	Nature protocols
1	84	Nature Structural & Molecular Biology
37	219	Nucleic acids research
2	25	Pacific Symposium on Biocomputing
2	65	PeerJ
8	84	PLoS computational biology
2	87	PLoS Genetics
12	175	PloS one
1		Proceedings of the VLDB Endowment
8	228	Proceedings of the National Academy of Sciences
1	198	Proc. of Neural Information Processing Systems (NIPS'01)
1	NA	Proc. of the 11st Conf. of the European Chapter of the Association for Computational Linguistics (EACL'06)
2	NA	Proc. of the 2007 Joint Conf. on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL)
1	NA	Protein engineering
2	43	Protein science
2	39	Proteins: Structure, Function, and Bioinformatics
1	49	Proteomics
1	47	RNA
1	356	Science
1	50	Science immunology
1	13	Statistical applications in genetics and molecular biology
1	37	Statistical Science
1	NA	Stochastic algorithms: foundations and applications
4	62	Systematic biology
2	31	Taxon
6	85	The American Journal of Human Genetics
1	13	The CRISPR Journal
1	22	Wellcome open research